amount,hour_of_day,day_of_week,merchant_category_encoded,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount,amount_deviation,is_international,is_online,card_age_days,account_balance_ratio,amount_log,velocity_ratio,amount_zscore,is_night,is_weekend,risk_country_pair,label
31.46,9,5,3,1,6,35.32,-0.3865,0,1,681,0.0098,3.480008562086445,0.14285714285714285,-0.06518605969791805,0,1,0,0
14.6,11,3,2,0,4,29.9,-0.4596,0,1,3368,0.0574,2.747270914255491,0.0,-0.07102379346596484,0,0,0,0
153.02,16,0,0,0,4,95.72,0.1811,0,0,3179,0.2141,5.037082464111104,0.0,-0.02309620697883339,0,0,0,0
27.89,15,3,4,0,4,35.95,1.137,0,1,3318,0.2489,3.363495514478144,0.0,-0.06642216346730875,0,0,0,0
100.08,21,4,0,3,7,21.12,0.8043,0,0,836,0.4272,4.615912282519994,0.375,-0.041426552511478525,0,0,0,0
360.03,11,4,6,3,3,77.48,-1.0476,0,0,3414,0.2537,5.888961057373135,0.75,0.048580499268104045,0,0,0,0
23.19,16,3,3,2,2,24.41,-0.4387,0,1,2527,0.0963,3.185939324621936,0.6666666666666666,-0.06804952697322926,0,0,0,0
108.13,10,5,2,4,2,153.97,0.3428,0,0,1247,0.5207,4.692539832124998,1.3333333333333333,-0.03863925969814658,0,1,0,0
21.81,12,3,4,1,7,58.5,0.324,0,0,2651,0.4822,3.1271990362962967,0.125,-0.06852734859837188,0,0,0,0
45.47,14,5,3,1,5,123.64,-1.7716,0,0,3237,0.2144,3.8388069430968867,0.16666666666666666,-0.06033513146005711,0,1,0,0
130.21,17,1,5,4,3,105.07,2.0837,0,0,1669,0.4248,4.876799093117625,1.0,-0.03099411369586466,0,0,0,0
26.7,15,4,4,2,5,14.85,0.0872,0,0,3342,0.5931,3.3214324131932926,0.3333333333333333,-0.06683419805710565,0,0,0,0
72.17,20,5,5,3,4,45.1,-1.6576,1,0,2298,0.1332,4.292785500895938,0.6,-0.051090321756210776,0,1,0,0
18.52,9,2,2,1,5,24.45,1.1726,0,0,1858,0.0303,2.9714395809849465,0.16666666666666666,-0.06966650305251623,0,0,0,0
34.36,11,3,4,1,5,119.26,-0.7446,0,1,973,0.5331,3.5655812377694427,0.16666666666666666,-0.06418194179000965,0,0,0,0
18.59,20,4,5,1,3,35.18,-0.326,0,1,573,0.288,2.9750192319564492,0.25,-0.06964226572370466,0,0,0,0
15.13,17,2,3,0,4,31.74,0.2004,0,0,1475,0.0262,2.7806808921371173,0.0,-0.07084028226210572,0,0,0,0
38.83,8,0,5,1,2,198.72,-2.7542,0,1,1848,0.3788,3.684620397193553,0.3333333333333333,-0.06263421522161292,0,0,0,0
21.6,12,2,4,0,8,19.61,-0.2323,1,0,2111,0.1573,3.1179499062782403,0.0,-0.06860006058480662,0,0,1,0
79.99,17,6,0,0,5,79.79,-1.4269,1,1,2587,0.3208,4.3943256902608985,0.0,-0.048382665880402596,0,1,0,0
31.22,17,5,4,0,4,15.81,-0.9702,0,0,3365,0.4905,3.472587377748828,0.0,-0.06526915911098634,0,1,0,0
180.77,16,6,6,0,6,109.02,-0.8984,0,0,2638,0.2113,5.202742151625007,0.0,-0.013487837342813322,0,1,0,0
51.54,11,2,4,0,3,33.87,-0.9549,0,0,1830,0.4957,3.961574784257394,0.0,-0.05823340880453849,0,0,0,0
42.12,12,4,1,0,5,60.95,0.7259,0,0,1794,0.4029,3.7639869266007415,0.0,-0.061495060767468544,0,0,0,0
1078.8,1,3,8,6,20,17.57,4.0781,1,1,37,0.8344,6.9845311177841864,0.2857142857142857,0.29745285398097404,1,0,1,1
368.49,15,4,3,1,2,41.05,-1.2024,0,1,2494,0.0652,5.9121236764225715,0.3333333333333333,0.05150975357876098,0,0,0,0
65.98,8,3,5,2,5,40.12,0.8446,1,1,2084,0.5914,4.204394067366058,0.3333333333333333,-0.05323359411826353,0,0,0,0
27.74,20,2,6,1,7,13.55,-1.7723,0,0,1849,0.4089,3.358289880650879,0.125,-0.06647410060047641,0,0,0,0
19.35,18,4,6,0,6,42.37,0.5934,0,1,3101,0.5369,3.013080911888604,0.0,-0.06937911758232176,0,0,0,0
