transaction_id,timestamp,amount,hour_of_day,day_of_week,merchant_category,merchant_category_encoded,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount,amount_deviation,is_international,is_online,card_age_days,account_balance_ratio,cardholder_country,merchant_country,label,label_text
TXN-L01501,2024-02-01 06:30:00,31.46,9,5,Utilities,3,1,6,35.32,-0.3865,0,1,681,0.0098,CA,US,0,legitimate
TXN-L02586,2024-02-23 21:00:00,14.6,11,3,Entertainment,2,0,4,29.9,-0.4596,0,1,3368,0.0574,US,CA,0,legitimate
TXN-L02653,2024-02-25 06:30:00,153.02,16,0,Utilities,0,0,4,95.72,0.1811,0,0,3179,0.2141,US,US,0,legitimate
TXN-L01055,2024-01-22 23:30:00,27.89,15,3,Retail,4,0,4,35.95,1.137,0,1,3318,0.2489,UK,US,0,legitimate
TXN-L00705,2024-01-15 16:30:00,100.08,21,4,Entertainment,0,3,7,21.12,0.8043,0,0,836,0.4272,US,US,0,legitimate
TXN-L00106,2024-01-03 05:00:00,360.03,11,4,Food & Dining,6,3,3,77.48,-1.0476,0,0,3414,0.2537,CA,US,0,legitimate
TXN-L00589,2024-01-13 06:30:00,23.19,16,3,Travel,3,2,2,24.41,-0.4387,0,1,2527,0.0963,US,US,0,legitimate
TXN-L02468,2024-02-21 10:00:00,108.13,10,5,Food & Dining,2,4,2,153.97,0.3428,0,0,1247,0.5207,US,UK,0,legitimate
TXN-L02413,2024-02-20 06:30:00,21.81,12,3,Travel,4,1,7,58.5,0.324,0,0,2651,0.4822,AU,US,0,legitimate
TXN-L01600,2024-02-03 08:00:00,45.47,14,5,Retail,3,1,5,123.64,-1.7716,0,0,3237,0.2144,UK,CA,0,legitimate
TXN-L02464,2024-02-21 08:00:00,130.21,17,1,Utilities,5,4,3,105.07,2.0837,0,0,1669,0.4248,US,CA,0,legitimate
TXN-L00228,2024-01-05 18:00:00,26.7,15,4,Education,4,2,5,14.85,0.0872,0,0,3342,0.5931,US,CA,0,legitimate
TXN-L00915,2024-01-20 01:30:00,72.17,20,5,Travel,5,3,4,45.1,-1.6576,1,0,2298,0.1332,US,US,0,legitimate
TXN-L00794,2024-01-17 13:00:00,18.52,9,2,Retail,2,1,5,24.45,1.1726,0,0,1858,0.0303,US,CA,0,legitimate
TXN-L03021,2024-03-03 22:30:00,34.36,11,3,Food & Dining,4,1,5,119.26,-0.7446,0,1,973,0.5331,US,US,0,legitimate
TXN-L03543,2024-03-14 19:30:00,18.59,20,4,Food & Dining,5,1,3,35.18,-0.326,0,1,573,0.288,US,US,0,legitimate
TXN-L01073,2024-01-23 08:30:00,15.13,17,2,Retail,3,0,4,31.74,0.2004,0,0,1475,0.0262,UK,US,0,legitimate
TXN-L03351,2024-03-10 19:30:00,38.83,8,0,Food & Dining,5,1,2,198.72,-2.7542,0,1,1848,0.3788,UK,US,0,legitimate
TXN-L01744,2024-02-06 08:00:00,21.6,12,2,Healthcare,4,0,8,19.61,-0.2323,1,0,2111,0.1573,CA,US,0,legitimate
TXN-L01084,2024-01-23 14:00:00,79.99,17,6,Healthcare,0,0,5,79.79,-1.4269,1,1,2587,0.3208,US,US,0,legitimate
TXN-L00926,2024-01-20 07:00:00,31.22,17,5,Entertainment,4,0,4,15.81,-0.9702,0,0,3365,0.4905,US,US,0,legitimate
TXN-L03049,2024-03-04 12:30:00,180.77,16,6,Retail,6,0,6,109.02,-0.8984,0,0,2638,0.2113,US,UK,0,legitimate
TXN-L01117,2024-01-24 06:30:00,51.54,11,2,Education,4,0,3,33.87,-0.9549,0,0,1830,0.4957,UK,CA,0,legitimate
TXN-L00642,2024-01-14 09:00:00,42.12,12,4,Retail,1,0,5,60.95,0.7259,0,0,1794,0.4029,UK,US,0,legitimate
TXN-F00017,2024-01-02 10:00:00,1078.8,1,3,Travel,8,6,20,17.57,4.0781,1,1,37,0.8344,UK,BR,1,fraud
TXN-L00501,2024-01-11 10:30:00,368.49,15,4,Retail,3,1,2,41.05,-1.2024,0,1,2494,0.0652,US,CA,0,legitimate
TXN-L04066,2024-03-25 17:00:00,65.98,8,3,Education,5,2,5,40.12,0.8446,1,1,2084,0.5914,CA,CA,0,legitimate
TXN-L00333,2024-01-07 22:30:00,27.74,20,2,Healthcare,6,1,7,13.55,-1.7723,0,0,1849,0.4089,US,UK,0,legitimate
TXN-L04684,2024-04-07 14:00:00,19.35,18,4,Entertainment,6,0,6,42.37,0.5934,0,1,3101,0.5369,AU,CA,0,legitimate
TXN-L00486,2024-01-11 03:00:00,28.6,21,5,Entertainment,2,1,6,130.15,-0.1276,0,0,806,0.4744,UK,US,0,legitimate
TXN-L01962,2024-02-10 21:00:00,91.94,16,0,Retail,5,0,9,30.76,-1.1199,0,0,3028,0.2766,AU,US,0,legitimate
TXN-L00393,2024-01-09 04:30:00,340.86,16,0,Retail,2,1,2,60.46,0.8708,0,0,372,0.487,US,US,0,legitimate
TXN-F00092,2024-01-08 16:00:00,2877.01,3,0,Crypto Exchange,8,8,15,20.21,5.7104,1,1,89,0.865,UK,PH,1,fraud
TXN-F00116,2024-01-10 16:00:00,1088.32,23,1,Travel,9,10,16,30.9,3.4343,1,1,84,0.9151,US,VN,1,fraud
TXN-L01755,2024-02-06 13:30:00,215.65,9,0,Education,2,1,5,6.45,0.8437,0,1,845,0.2305,CA,US,0,legitimate
TXN-L02515,2024-02-22 09:30:00,75.78,8,6,Food & Dining,3,0,4,72.66,1.5907,0,1,208,0.0993,US,CA,0,legitimate
TXN-L03585,2024-03-15 16:30:00,14.98,19,4,Education,0,1,4,36.24,0.3196,0,0,358,0.0339,CA,CA,0,legitimate
TXN-L04315,2024-03-30 21:30:00,149.3,14,4,Education,1,1,6,185.27,-0.3234,0,0,779,0.1689,US,CA,0,legitimate
TXN-F00216,2024-01-19 00:00:00,1603.66,1,3,Crypto Exchange,7,4,19,3.53,1.1524,1,1,48,0.9626,US,BR,1,fraud
TXN-L02099,2024-02-13 17:30:00,123.7,18,1,Healthcare,0,2,7,58.42,1.2689,1,0,2088,0.3072,UK,US,0,legitimate
TXN-L03599,2024-03-15 23:30:00,43.49,10,0,Healthcare,6,3,5,49.69,0.5823,0,1,1377,0.2043,US,US,0,legitimate
TXN-L04121,2024-03-26 20:30:00,47.59,21,3,Utilities,5,1,3,23.82,0.2076,1,0,813,0.1762,UK,CA,0,legitimate
TXN-L00029,2024-01-01 14:30:00,40.78,14,5,Education,2,1,3,90.02,0.6894,0,0,180,0.286,US,UK,0,legitimate
TXN-L00065,2024-01-02 08:30:00,211.93,8,3,Education,0,1,1,12.98,-1.9188,0,0,1390,0.337,US,US,0,legitimate
TXN-L00838,2024-01-18 11:00:00,146.1,14,3,Entertainment,2,2,5,44.37,1.5853,0,1,2265,0.3305,US,US,0,legitimate
TXN-L03906,2024-03-22 09:00:00,205.5,17,3,Food & Dining,5,0,9,139.76,0.5769,0,1,3382,0.5735,CA,US,0,legitimate
TXN-L03773,2024-03-19 14:30:00,25.54,17,1,Utilities,1,0,7,29.07,-1.0389,0,1,1545,0.5008,US,US,0,legitimate
TXN-L04635,2024-04-06 13:30:00,2.96,18,4,Utilities,0,1,2,37.21,-0.9983,1,0,645,0.3384,CA,UK,0,legitimate
TXN-L03161,2024-03-06 20:30:00,86.13,16,1,Food & Dining,5,3,2,26.43,0.8881,0,0,400,0.0802,AU,US,0,legitimate
TXN-L02659,2024-02-25 09:30:00,94.94,17,0,Entertainment,6,1,5,24.52,0.2561,0,0,1643,0.5563,US,UK,0,legitimate
TXN-L04615,2024-04-06 03:30:00,40.06,19,3,Education,6,2,9,10.24,1.2547,1,0,2321,0.2751,UK,UK,0,legitimate
TXN-L04628,2024-04-06 10:00:00,163.38,19,1,Travel,5,2,4,55.46,1.1295,0,0,1982,0.4928,AU,US,0,legitimate
TXN-L02451,2024-02-21 01:30:00,23.76,12,5,Retail,6,1,4,37.78,0.9167,0,0,1863,0.3983,UK,US,0,legitimate
TXN-L02846,2024-02-29 07:00:00,30.3,18,0,Retail,0,0,4,353.52,0.0987,0,0,2482,0.2416,AU,CA,0,legitimate
TXN-L01144,2024-01-24 20:00:00,45.92,8,4,Education,6,2,5,28.85,0.578,0,1,1603,0.167,US,US,0,legitimate
TXN-L03078,2024-03-05 03:00:00,68.99,15,1,Entertainment,4,1,8,58.11,-0.7486,0,1,209,0.2783,US,US,0,legitimate
TXN-L01103,2024-01-23 23:30:00,47.48,19,0,Entertainment,3,3,5,123.25,0.7335,0,1,1368,0.4693,US,US,0,legitimate
TXN-L00168,2024-01-04 12:00:00,42.72,13,1,Travel,1,2,6,184.33,0.184,1,0,1014,0.2207,US,US,0,legitimate
TXN-L01670,2024-02-04 19:00:00,42.99,13,1,Healthcare,4,1,5,95.49,0.5334,0,0,1240,0.4272,US,US,0,legitimate
TXN-L02570,2024-02-23 13:00:00,56.73,20,0,Healthcare,5,1,4,124.68,1.6694,0,1,764,0.5792,US,US,0,legitimate
TXN-L02377,2024-02-19 12:30:00,14.5,13,0,Entertainment,0,0,5,17.85,-0.2281,1,0,3018,0.2755,US,US,0,legitimate
TXN-L04395,2024-04-01 13:30:00,14.05,15,6,Entertainment,1,0,4,26.15,0.5841,1,1,3057,0.2001,US,US,0,legitimate
